Period,Series,Ann Return,Ann Vol,Sharpe (rf=0),Max Drawdown,Calmar,Months
Full (1999–2026),Base,0.08840253688135302,0.14466721295306315,0.6110751363547383,-0.3905992308920152,0.22632542485930476,300.0
Full (1999–2026),Macro,0.08064606068009894,0.12899020600955938,0.6252107285891327,-0.3343063037294848,0.2412340412981157,300.0
Full (1999–2026),SPY,0.08637157074792223,0.15043364429104034,0.5741506240507026,-0.5078483118903749,0.17007356079696206,300.0
Lost Decade (2000–2010),Base,0.04761923400318113,0.15995271035000552,0.297708203249458,-0.3905992308920152,0.12191328153522635,119.0
Lost Decade (2000–2010),Macro,0.047072806253936506,0.13396560498017943,0.35137979081198534,-0.3343063037294848,0.14080741442442873,119.0
Lost Decade (2000–2010),SPY,0.009926493404810444,0.1637053613857985,0.06063633665251217,-0.5078483118903749,0.019546177810182808,119.0
Post-GFC Bull (2011–2026),Base,0.11607712516574398,0.13369303075529151,0.8682361713993061,-0.19938256400484222,0.5821829293103329,181.0
Post-GFC Bull (2011–2026),Macro,0.10330349088145763,0.12563837687343973,0.8222287922862862,-0.1901405747237831,0.5433006134094548,181.0
Post-GFC Bull (2011–2026),SPY,0.13975721767844873,0.1398618637216919,0.9992517900129558,-0.23927173065587204,0.5840941480857672,181.0
